Country or area,ISO Code,"Country
Letter Code",Region Code,Region,Major area Code,Major area,"Developed
region",Less Developed Regions,"Least developed
country","Less developed regions, excluding least developed countries","Total population of less than 90,000 by mid-2015",FP2020 country,Sexual activity among unmarried,Female sterilization,"Sub Saharan
Africa"
Saint Vincent and the Grenadines,670,VCT,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Samoa,882,WSM,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,No,1,7.7,No
San Marino,674,SMR,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,1,0,No
Sao Tome and Principe,678,STP,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,1.3,Yes
Saudi Arabia,682,SAU,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,4.2,No
Senegal,686,SEN,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.3,Yes
Serbia,688,SRB,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0.5,No
Seychelles,690,SYC,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,No,1,0,Yes
Sierra Leone,694,SLE,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.5,Yes
Singapore,702,SGP,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,0,No
Sint Maarten (Dutch part),534,SXM,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Slovakia,703,SVK,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Slovenia,705,SVN,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Solomon Islands,90,SLB,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,Yes,1,15.4,No
Somalia,706,SOM,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,0,0,Yes
South Africa,710,ZAF,913,Southern Africa,903,Africa,No,Yes,No,Yes,No,No,1,15.3,Yes
South Sudan,728,SSD,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.2,Yes
Spain,724,ESP,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,5.7,No
Sri Lanka,144,LKA,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,17.3,No
State of Palestine,275,PSE,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,2.7,No
Sudan,729,SDN,912,Northern Africa,903,Africa,No,Yes,Yes,No,No,Yes,0,0.9,Yes
Suriname,740,SUR,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,11.9,No
Swaziland,748,SWZ,913,Southern Africa,903,Africa,No,Yes,No,Yes,No,No,1,5.1,Yes
Sweden,752,SWE,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Switzerland,756,CHE,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Syrian Arab Republic,760,SYR,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,2.9,No
Tajikistan,762,TJK,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,0.7,No
The former Yugoslav Republic of Macedonia,807,MKD,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0.9,No
Thailand,764,THA,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,26.7,No
Timor-Leste,626,TLS,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,1,No
Togo,768,TGO,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.3,Yes
Tokelau,772,TKL,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
