"Country letter code","ISO code","Country","In union","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"CPV",132,"Cabo Verde",TRUE,25902,26004,25908,25712,25531,25407,25322,25332,25418,25570,25803,26509,27315,28170,29017,29827,30782,31602,32318,32999,33687,34716,35933,37285,38700,40113,41403,42661,43872,45022,46113,47325,48445,49503,50525,51523,52550,53517,54423,55282,56109,57169,58293,59470,60699,61981,63424,64903,66415,67964,69552,71158,72810,74474,76107,77686,79275,80804,82266,83660,84985,85969,86837,87578,88191,88670
"KHM",116,"Cambodia",TRUE,1010270,1034060,1060674,1086684,1108898,1125874,1128358,1127218,1126280,1128585,1135907,1161155,1187245,1214820,1246544,1282551,1302034,1333314,1371556,1409856,1445795,1494768,1541413,1586599,1633246,1682274,1729410,1777578,1827692,1880513,1937492,1999365,2061368,2123932,2186768,2248507,2316486,2382019,2443718,2501899,2557643,2607154,2661052,2716475,2770277,2820024,2869461,2915480,2957820,2996608,3032100,3065734,3093950,3120762,3152104,3190953,3239754,3296765,3352461,3391894,3406313,3418293,3406513,3382037,3362752,3359632
"CMR",120,"Cameroon",TRUE,1103433,1123895,1146268,1170445,1196468,1224371,1250479,1275128,1301918,1330628,1361139,1390165,1421280,1454541,1490176,1528274,1564041,1603281,1645299,1689374,1735278,1778793,1824859,1873430,1924599,1978477,2028532,2081823,2138683,2199243,2263423,2323998,2388103,2455831,2527468,2603035,2675094,2752238,2833298,2916861,3002230,3084721,3169830,3256819,3345536,3435890,3523163,3612230,3703235,3796388,3891763,3985948,4081740,4179238,4278588,4379669,4477933,4578166,4679424,4780500,4880668,5015706,5152602,5291212,5431594,5573709
"CAN",124,"Canada",TRUE,3619259,3714910,3776246,3836340,3900081,3969358,4023793,4083672,4147105,4210798,4273259,4332702,4390756,4447862,4504888,4561863,4625240,4689380,4751356,4807070,4853608,4888581,4912698,4926501,4930886,4926359,4912271,4891441,4865149,4835112,4802931,4772635,4740123,4706258,4671491,4635473,4598045,4561815,4526312,4490433,4453306,4400080,4342945,4291284,4248035,4215785,4192774,4178603,4171956,4169960,4170083,4168318,4169296,4172558,4177538,4183811,4189617,4197055,4205614,4214779,4224244,4226571,4226215,4224461,4223268,4223742
"CYM",136,"Cayman Islands",TRUE,1148,1229,1322,1430,1548,1673,1802,1949,2104,2262,2389,2466,2528,2584,2659,2760,3031,3355,3721,4114,4509,4763,5008,5259,5537,5852,6224,6655,7105,7528,7887,8072,8171,8221,8264,8328,8358,8404,8458,8491,8488,8422,8323,8201,8071,7946,7805,7668,7535,7416,7304,7196,7102,7030,6986,6980,7001,7061,7150,7253,7355,7420,7483,7542,7601,7662
"CAF",140,"Central African Republic",TRUE,319793,323657,327874,332530,337781,343756,350183,357568,365928,375289,385626,397077,409762,423160,436654,449863,458505,466890,475538,485157,496265,510402,526453,543991,562423,581293,597146,613407,630123,647398,665259,678812,692994,707772,723110,738993,750989,763573,776025,787428,797324,796300,792916,788873,786495,787383,798653,813686,831651,851176,871300,895211,919374,943632,967958,992145,1013438,1034687,1055408,1075049,1093407,1122947,1152450,1181951,1211678,1241778
"TCD",148,"Chad",TRUE,650569,663238,677364,692325,707545,722673,733648,745131,757242,770126,783988,796580,810828,826971,845373,866187,887253,911510,938379,967179,997517,1025844,1056184,1088748,1123852,1161688,1198079,1238025,1277612,1319953,1364799,1408454,1455509,1505374,1557602,1612049,1662909,1716244,1772748,1833187,1897981,1963076,2032965,2106949,2184302,2263378,2338861,2416268,2495388,2576029,2657991,2736712,2816834,2897964,2979713,3061747,3139499,3217557,3295555,3373163,3450077,3563736,3680725,3800755,3923535,4048829
,830,"Channel Islands",TRUE,17406,17626,17879,18161,18473,18814,19045,19248,19445,19669,19944,20256,20519,20829,21174,21529,21792,22077,22379,22700,23021,23210,23395,23559,23675,23718,23715,23611,23448,23302,23197,23099,23003,22892,22752,22592,22398,22238,22088,21931,21752,21561,21352,21134,20923,20727,20516,20324,20145,19976,19811,19637,19471,19318,19182,19066,18957,18876,18815,18766,18730,18670,18615,18567,18530,18504
"CHL",152,"Chile",TRUE,1219949,1240735,1263410,1287351,1311754,1336230,1361996,1387231,1412449,1438314,1465060,1492793,1520864,1549475,1578823,1608908,1639670,1671492,1703365,1734165,1763223,1789821,1815541,1840029,1863075,1884679,1906757,1926827,1944880,1960758,1974192,1985010,1993279,1999607,2004703,2008978,2013045,2016271,2018505,2019664,2019668,2018375,2017321,2016892,2016216,2014916,2014701,2013806,2012958,2013277,2015340,2018951,2024427,2031519,2039754,2048803,2059891,2071961,2084548,2097086,2109101,2109941,2109034,2105994,2100332,2091821
"CHN",156,"China",TRUE,119753869,122845058,126544676,130628992,134868319,139139070,143680677,148226435,152823534,157489155,162213398,167198289,171930218,176109197,180695924,185841986,191056647,196698705,202623095,208758884,215079592,220625425,227042824,233705548,239722921,244644768,250367585,254458180,257365573,259737205,261808529,262637841,262992376,263184363,263569224,264410105,265546285,267294665,269255233,270928635,272008344,272841352,273196697,272946375,271649342,269492640,266570529,262901926,258661463,254095950,249397597,244868833,240160492,235495007,231158028,227299734,224069087,221286101,218784493,216287742,213597046,211966197,210280369,208297856,205677087,202240324
"HKG",344,"China, Hong Kong Special Administrative Region",TRUE,528395,534341,535199,536961,541262,548894,564224,583657,605884,629091,652217,676646,701522,726317,751108,775988,798607,822862,848629,875522,903044,930870,958718,986929,1015220,1042720,1060465,1078934,1096326,1110899,1121784,1125753,1124509,1119162,1111210,1101747,1089486,1077138,1065093,1053379,1041836,1025361,1005907,987634,971214,957324,945208,934859,926006,918114,910635,900003,889485,878976,868166,856897,844898,832064,818331,803692,788184,768777,748027,726684,705709,685756
"MAC",446,"China, Macao Special Administrative Region",TRUE,27080,27656,27918,27961,27973,28060,27990,28010,28129,28347,28706,30208,32003,34134,36664,39573,42161,45273,48702,52175,55557,58562,61424,64152,66819,69462,71762,73832,75765,77642,79499,80874,82385,83928,85396,86706,88052,89231,90394,91671,93082,94000,95131,96418,97796,99190,99906,100553,101093,101459,101643,101534,101200,100784,100493,100446,100520,100804,101108,101110,100609,99575,98089,96232,94160,91988
"TWN",158,"China, Taiwan Province of China",TRUE,1951434,2028575,2108342,2190407,2274789,2361227,2448109,2528183,2604291,2680048,2757760,2805731,2860777,2918454,2973454,3023753,3077738,3128279,3176185,3222280,3266047,3312284,3351428,3385289,3415985,3443783,3463404,3483716,3501020,3510676,3511139,3498880,3479235,3453820,3426110,3398073,3374132,3350186,3326153,3300219,3270834,3236492,3198324,3158140,3118449,3080567,3040748,3003876,2969390,2936916,2906356,2880991,2858037,2834694,2806772,2771526,2731512,2684459,2632426,2578577,2525050,2469538,2412825,2356613,2303094,2253540
"COL",170,"Colombia",TRUE,2525676,2604916,2691453,2784139,2875022,2968486,3073720,3176292,3279994,3390432,3509820,3625757,3752822,3887238,4023496,4158994,4297715,4436756,4574824,4711393,4845813,4981972,5113271,5240490,5364790,5486620,5602803,5717981,5831035,5939933,6043761,6149278,6247239,6339612,6429793,6519094,6601443,6685009,6766486,6840938,6905952,6968833,7022526,7067683,7105811,7137634,7164557,7185207,7202290,7219581,7239317,7264788,7293718,7322698,7346566,7362080,7376129,7382592,7381735,7374395,7361032,7347425,7326385,7298738,7265774,7228397
"COM",174,"Comoros",TRUE,34282,34755,35302,35972,36812,37847,39079,40541,42143,43779,45380,46663,47876,49076,50326,51668,52982,54419,55966,57589,59279,60995,62803,64701,66700,68803,70955,73189,75499,77862,80263,82581,84939,87345,89816,92346,94854,97441,100100,102824,105607,108361,111194,114050,116938,119855,122698,125602,128544,131497,134441,137387,140303,143206,146114,149019,151854,154691,157504,160261,162934,166539,170155,173774,177402,181032
"COG",178,"Congo",TRUE,176602,181005,185751,190786,196063,201540,206399,211490,216860,222584,228725,235114,242096,249587,257476,265692,273835,282367,291338,300844,310937,321315,332399,344157,356527,369455,382432,396099,410361,425127,440311,454016,468352,483502,499668,516958,535972,556201,577052,597805,617915,631593,644344,656516,668734,681529,696093,711552,727771,744505,761576,779732,797958,816539,835811,855898,876107,897162,918920,941172,963833,991835,1020839,1050695,1081297,1112569
"COK",184,"Cook Islands",TRUE,2422,2445,2437,2412,2383,2347,2286,2212,2127,2038,1960,1983,2028,2089,2146,2196,2206,2212,2216,2225,2240,2272,2314,2360,2388,2393,2374,2328,2276,2234,2215,2223,2261,2304,2343,2359,2358,2325,2279,2230,2182,2138,2097,2061,2023,1986,1952,1922,1892,1871,1848,1832,1821,1812,1810,1815,1827,1847,1871,1898,1922,1941,1956,1970,1981,1979
"CRI",188,"Costa Rica",TRUE,236396,244829,253545,262645,270427,278504,287228,295846,304615,313897,323802,333166,343427,354156,364792,375053,385015,394738,404282,413850,423570,434188,445072,456149,467231,478159,488843,499307,509586,519792,529918,538454,546883,555006,562490,569150,575380,580536,584836,588614,592016,594092,596114,597930,599329,600401,602061,603638,605327,607443,610103,613317,617100,621154,624984,628271,631482,634180,636368,638112,639446,638737,637241,635006,632108,628618
"CIV",384,"Côte d'Ivoire",TRUE,871134,905456,943992,986228,1031502,1079166,1123815,1171615,1222452,1268236,1316289,1360364,1408202,1458986,1511707,1565796,1615047,1665499,1718055,1773928,1833575,1892429,1954942,2020315,2087316,2154877,2214146,2273658,2332267,2388719,2442254,2475092,2504961,2533246,2561692,2591893,2629495,2669462,2712593,2759619,2810589,2868581,2931394,2998195,3067886,3138541,3206636,3277810,3351357,3426532,3503000,3579077,3656909,3736362,3817371,3899845,3981581,4064992,4150455,4238430,4329174,4451219,4576491,4704950,4836527,4971066
"HRV",191,"Croatia",TRUE,750979,754588,754950,753123,750936,749502,748856,749571,751084,752422,753085,755026,756511,757728,759030,760534,761357,762195,763119,764374,766103,765756,759334,752247,743297,731816,720946,708224,694813,682401,671921,660863,651786,643787,635564,626409,616517,605496,593845,582319,571217,560117,549792,540189,531096,522535,515213,508165,501285,494399,487288,480354,473262,466055,458812,451591,444678,437907,431237,424643,418110,412158,406254,400396,394589,388823
"CUB",192,"Cuba",TRUE,1337237,1358485,1374580,1388201,1404200,1424645,1443684,1468285,1496984,1526166,1553988,1587759,1616421,1642739,1671054,1702975,1734226,1770006,1807338,1842018,1871993,1896730,1919307,1938716,1954349,1966129,1981128,1989623,1993302,1994265,1993262,1988818,1982617,1975108,1966800,1958298,1952194,1946257,1938527,1925872,1906144,1881434,1849926,1812750,1773794,1734985,1696060,1658468,1621445,1583625,1544573,1508549,1471544,1435704,1404151,1378496,1359682,1346765,1337809,1329687,1320333,1315394,1309597,1302242,1292558,1280048
