Country.or.area,ISO.Code,Country.Letter.Code,Region.Code,Region,Major.area.Code,Major.area,Developed.region,Less.Developed.Regions,Least.developed.country,Less.developed.regions..excluding.least.developed.countries,Total.population.of.less.than.90.000.by.mid.2015,FP2020.country,Sexual.activity.among.unmarried,Sub.SaharanAfrica,WPP.small.country,WCU.data,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.
Pakistan,586,PAK,34,Southern Asia,142,Asia,No,Yes,No,Yes,No,Yes,0,No,No,Yes,No,No
Palau,585,PLW,57,Micronesia,9,Oceania,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Panama,591,PAN,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Papua New Guinea,598,PNG,54,Melanesia,9,Oceania,No,Yes,No,Yes,No,Yes,1,No,No,Yes,No,Yes
Paraguay,600,PRY,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,Yes,No
Peru,604,PER,5,South America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Philippines,608,PHL,35,South-eastern Asia,142,Asia,No,Yes,No,Yes,No,Yes,1,No,No,Yes,No,No
Poland,616,POL,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Portugal,620,PRT,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Puerto Rico,630,PRI,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Qatar,634,QAT,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Republic of Korea,410,KOR,30,Eastern Asia,142,Asia,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Republic of Moldova,498,MDA,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,Yes,No
Réunion,638,REU,14,Eastern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,No
Romania,642,ROU,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Russian Federation,643,RUS,151,Eastern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Rwanda,646,RWA,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Saint Kitts and Nevis,659,KNA,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Saint Lucia,662,LCA,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Saint Vincent and the Grenadines,670,VCT,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Samoa,882,WSM,61,Polynesia,9,Oceania,No,Yes,No,Yes,No,No,1,No,No,Yes,No,Yes
Sao Tome and Principe,678,STP,17,Middle Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,Yes
Saudi Arabia,682,SAU,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
