Country letter code,ISO code,Country,In union,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
NA,218,Ecuador,TRUE,59667,61922,63803,65433,67059,69005,70969,73065,75286,77614,80038,82485,85053,87692,90322,92885,95286,97637,99918,102114,104219,106121,107958,109757,111565,113418,115325,117286,119326,121471,123714,125920,128304,130779,133178,135380,137299,138925,140348,141716,143101,144231,145187,145856,146052,145686,144816,143406,141666,139904,138289,136783,135392,133980,132324,130289,127944,125276,122314,119108,115689,115999,116218,116351,116402,116375
NA,818,Egypt,TRUE,299398,305268,315192,328208,341983,354861,364438,371501,378732,387011,396485,403397,410790,418463,425890,432757,436357,439619,443420,448879,456555,465041,475853,488658,502698,517459,533990,549687,565014,580728,596898,612783,629083,643613,653158,655970,651475,641692,628522,614855,602636,592058,582043,573803,568797,567585,566421,570446,577165,582784,585368,586864,583924,580378,581926,591025,604959,625320,646529,660335,662250,671378,670935,663818,655188,648335
NA,222,El Salvador,TRUE,39452,40686,41586,42421,43270,44188,44880,45580,46252,46858,47408,47841,48231,48609,49022,49514,50030,50502,50940,51346,51717,51965,52130,52180,52058,51740,51411,50918,50337,49787,49359,49188,49136,49234,49508,49962,50527,51182,51865,52407,52725,52675,52418,51888,50992,49715,48035,45978,43745,41626,39798,38176,36826,35674,34593,33515,32449,31397,30376,29415,28525,28466,28454,28463,28449,28385
NA,226,Equatorial Guinea,TRUE,3864,3821,3708,3551,3389,3255,3156,3083,3054,3090,3201,3393,3685,4023,4303,4495,4563,4553,4508,4487,4531,4656,4812,5006,5243,5526,5919,6325,6694,6978,7174,7436,7603,7671,7689,7715,7994,8242,8419,8541,8659,9113,9541,9865,10075,10221,10764,11231,11561,11753,11860,12260,12652,12988,13224,13342,13451,13487,13449,13349,13201,13540,13884,14226,14561,14885
NA,232,Eritrea,TRUE,28011,28740,29807,31094,32411,33640,34767,35850,36923,38048,39252,40464,41743,43076,44433,45784,46962,48243,49530,50694,51641,51022,50616,50740,51675,53572,55178,57121,59315,61584,63753,65886,67728,69073,69601,69182,67434,65158,62652,60281,58278,56208,54466,53171,52428,52257,52566,53237,54109,54950,55599,55945,56108,56036,55662,54962,53906,52554,51016,49433,47883,48209,48565,48945,49329,49702
NA,233,Estonia,TRUE,2653,2717,2773,2813,2833,2835,2834,2828,2816,2798,2776,2786,2779,2760,2742,2740,2764,2813,2870,2910,2892,2842,2764,2670,2583,2516,2495,2483,2475,2464,2444,2436,2432,2420,2386,2321,2222,2095,1950,1803,1666,1536,1420,1320,1243,1192,1167,1167,1187,1221,1263,1311,1368,1425,1470,1494,1497,1478,1444,1413,1392,1375,1367,1364,1360,1350
NA,231,Ethiopia,TRUE,753743,770144,789380,810218,831310,851979,866132,875870,881655,885735,890964,911285,939271,973555,1012408,1032481,1052719,1072158,1089051,1103880,1118451,1130884,1145404,1161073,1177297,1194606,1212911,1232225,1250179,1263426,1270002,1261517,1248582,1233071,1218182,1206344,1193972,1185157,1180147,1177081,1173126,1165421,1153448,1135956,1111568,1079666,1039683,1016984,991858,964659,935954,906338,875636,845304,817210,792248,770039,750568,732919,715802,698507,708109,717119,725580,733652,741410
NA,242,Fiji,TRUE,3918,4077,4257,4443,4611,4747,4783,4744,4707,4685,4681,4657,4602,4503,4368,4221,4108,4005,3920,3857,3819,3806,3820,3855,3899,3935,3934,3935,3927,3895,3834,3694,3517,3327,3150,2995,2919,2876,2872,2871,2853,2770,2680,2592,2516,2461,2413,2377,2356,2348,2353,2358,2375,2398,2416,2422,2407,2382,2350,2315,2281,2259,2234,2210,2188,2168
NA,246,Finland,TRUE,13189,12902,12677,12507,12356,12197,12008,11844,11713,11605,11496,11323,11143,10945,10707,10418,10086,9687,9287,8980,8817,8797,8908,9100,9287,9415,9477,9500,9487,9445,9379,9297,9166,9024,8922,8886,8918,9018,9145,9220,9191,9101,8901,8629,8354,8130,8002,7915,7862,7835,7833,7900,8001,8108,8183,8207,8234,8209,8146,8076,8024,8056,8102,8148,8177,8184
NA,250,France,TRUE,145059,142783,140979,139511,138100,136571,134742,133210,131767,130063,127916,125973,123489,120727,118086,115738,113339,111351,109353,106758,103314,99105,94207,89193,84877,81682,79572,78318,77514,76566,75142,73421,71388,69094,66657,64168,61714,59190,56676,54281,52058,49902,48809,48016,47429,46972,46744,46546,46383,46265,46191,46280,46415,46561,46685,46777,46993,47188,47385,47632,47964,47800,47638,47468,47277,47066
