"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"30-34",5762,NA,NA,NA,NA,75.3,74,1.3,10,NA,NA,NA,"MW","0",NA,NA,0,188,"Costa Rica",2018,2018,2018.16164383562,2018.41095890411,"2018 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5762,NA,NA,NA,NA,64.4886773212789,61.5191745247761,2.96950279650279,7.5108029096539,NA,NA,NA,"UW","0",NA,NA,0,188,"Costa Rica",2018,2018,2018.16164383562,2018.41095890411,"2018 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",4994,NA,NA,NA,NA,75.00174524,73.67832105,1.323424196,9.4,NA,NA,NA,"MW","0",NA,NA,1,192,"Cuba",2010,2011,2010.83287671233,2011.32602739726,"2010-2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7578,NA,NA,NA,NA,69.1281561640136,68.1154641548798,1.01269200913379,9.31843128437185,NA,NA,NA,"MW","0",NA,NA,1,192,"Cuba",2019,2019,2019,2019,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7578,NA,NA,NA,NA,72.0850789719553,69.3906083864808,2.69447058547443,10.04420417719,NA,NA,NA,"UW","0",NA,NA,1,192,"Cuba",2019,2019,2019,2019,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",1780,NA,NA,NA,NA,17.1131983092766,3.54791741817572,13.5652808911009,26.9081125893254,NA,NA,NA,"MW","0",NA,NA,0,204,"Benin",1996,1996,1996.41530054645,1996.66393442623,"1996 DHS","DHS",0,"bj38",0.205963806100557,0.123268340501922,0.0913548990012699,0.00685331979648611,0.0127867325333496,0.0158296796848466,1
"30-34",6055,NA,NA,NA,NA,19.3505736303486,15.1172439167089,4.2333297136398,32.6004546189098,NA,NA,NA,"MW","0",NA,NA,0,204,"Benin",2017,2018,2017.84657534247,2018.15890410959,"2017-2018 DHS","DHS",0,"bj71",0.0691848222611525,0.117962741488688,0.0576809702262853,0.00748266699086642,0.0040850715824827,0.00975867116508402,1
"30-34",6055,NA,NA,NA,NA,19.1748323116377,15.3937487437709,3.78108356786682,13.3204549133634,NA,NA,NA,"UW","0",NA,NA,0,204,"Benin",2017,2018,2017.84657534247,2018.15890410959,"2017-2018 DHS","DHS",0,"bj71",0.241906277820577,0.455733104045061,0.23203604833672,0.013284027395318,0.00742083116934383,0.00831644682485448,0
"30-34",1671,NA,NA,NA,NA,66.172002884338,59.7537118781548,6.41829100618317,16.3389449811733,NA,NA,NA,"MW","0",NA,NA,0,214,"Dominican Republic",1991,1991,1991.49589041096,1991.91232876712,"1991 DHS","DHS",0,"dr21",0.104505963757992,0.220283532464389,0.166346957415482,0.0219791625519841,0.0106468458773683,0.0144730661319959,1
"30-34",5674,NA,NA,NA,NA,70.57891971,69.06924585,1.509673863,10.34170546,NA,NA,NA,"MW","0",NA,NA,1,214,"Dominican Republic",2014,2014,2014.41369863014,2014.66301369863,"2014 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5674,NA,NA,NA,NA,45.12930165,44.23520003,0.894101619,8.281825146,NA,NA,NA,"UW","0",NA,NA,1,214,"Dominican Republic",2014,2014,2014.41369863014,2014.66301369863,"2014 MICS","MICS",0,"drwm5",0.0879815383686668,0.443663641809117,0.15532138297024,0.00710250898457356,0.000306283972425549,0.00334103191654123,0
"30-34",5561,NA,NA,NA,NA,73.22434728,68.17774508,5.046602196,10.70029163,NA,NA,NA,"MW","0",NA,NA,0,222,"El Salvador",2014,2014,2014.16164383562,2014.7397260274,"2014 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5561,NA,NA,NA,NA,42.68779932,41.50058133,1.187217989,6.186572047,NA,NA,NA,"UW","0",NA,NA,0,222,"El Salvador",2014,2014,2014.16164383562,2014.7397260274,"2014 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",5052,NA,NA,NA,NA,15.8,12.8,3,25,NA,NA,NA,"MW","0",NA,NA,0,226,"Equatorial Guinea",2011,2011,2011.49589041096,2011.91232876712,"2011 DHS","DHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1694,NA,NA,NA,NA,8.98049289253328,8.0256630857589,0.954829806774379,39.4962484311372,NA,NA,NA,"MW","0",NA,NA,0,231,"Ethiopia",2000,2000,2000.08469945355,2000.41256830601,"2000 DHS","DHS",0,"et41",0.131428532586987,0.32314389104854,0.078279421627332,0.00966920808542056,0.00240149544809071,0.015759330836387,1
"30-34",7656,NA,NA,NA,NA,42.01619386,40.54889706,1.428660328,22.46523261,NA,NA,NA,"MW","0",NA,NA,0,231,"Ethiopia",2018,2018,2018.41369863014,2018.57808219178,"2018 PMA-R6","PMA",0,"PMA2018_ETR6_HHQFQ_v3_14Jun2019",0.10316157922814,0.373566138041415,0.12422749228556,0.0153648362725006,0.00291436065719705,0.013162292388834,1
